"k","npar","resid_df","lambda","med_se","se_ratio","frac_gain","n_p1e5","n_fdr","n_bonf","r2_slide","r2_smoke_sv","max_r2_sv_ptsd","strata_full_rank","df_F","df_M"
0,21,65,0.872762908878356,0.0565422622573131,1,NA,6,0,0,NA,NA,NA,TRUE,24,22
6,27,59,1.02523822736305,0.0504782067653131,0.950010767644434,0.749161323423043,7,0,0,0.087004623174867,0.404549665840822,0.0389784327825018,TRUE,18,16
8,29,57,1.05212333400635,0.05013404227319,0.93916205573842,0.774556331165182,9,0,0,0.0859155096456966,0.452092839237346,0.0393092980653399,TRUE,16,14
10,31,55,1.08202813651203,0.0495916734141779,0.927661928990849,0.798158283427063,9,0,0,0.0873976688880715,0.471565149782129,0.039649109574816,TRUE,14,12
15,36,50,1.08484267174608,0.0507599355915539,0.94411956614432,0.686884380979331,14,0,0,0.0948528254023271,0.640533360649289,0.0399530516371367,TRUE,9,7
