"se0","se6","t0","t6"
0.04865003657912,0.0502595125837341,0.399695770598418,0.595141992367032
0.0587902258701369,0.0579527910153349,-0.292454684807006,-0.613891682202973
0.0590106054250318,0.0598468122351529,0.149831627986234,-0.168376264897108
0.0509357974275226,0.0443882405882622,1.27077416728978,0.609171843075188
0.0377488348831155,0.0295540498336566,-2.26415638026851,-2.8911085642239
0.085027091933009,0.0823016477267414,-1.17582308235195,-0.77944812063252
0.116962410461185,0.119517091309925,-0.743533043143426,-1.23650014308495
0.0554129934261703,0.0528361656266096,0.774623855765502,1.05831015359711
0.0398180156924513,0.039221433459615,-0.315394280737716,0.0321940874721753
0.0754492913193794,0.0696573951133743,1.05780471924228,0.506341355672993
0.0677968221962337,0.0662988268780625,0.425050213233114,0.230508105319044
0.077795132599602,0.0804843057523777,1.61583378246273,1.85941275491117
0.0932406095346794,0.0915221646406274,0.974879029220143,1.34041873536058
0.0291687025298818,0.027093186655257,-0.880505575223729,-0.693342125843908
0.0502034324936335,0.0466706219748425,-1.89036508463807,-1.53524759138799
0.0614472917472205,0.0516181564442478,0.103774478479857,-0.225925989496
0.036036877480128,0.0321828723630103,0.486440844286278,1.2367487553685
0.0505090361158186,0.0481905839315392,1.87564296366802,2.18814835484047
0.0966899895543393,0.0984624920841617,0.56131357238678,0.70845660327045
0.082532403309129,0.0798735990613432,0.884342913813291,0.429945860652504
0.0446228737949368,0.0361912927226186,-1.05584184346992,-0.996600770600284
0.0390465404655603,0.0373727121603854,2.0111258425329,1.84367075236088
0.0444696006612046,0.0453412465311522,0.278460759692506,-0.0205349430310347
0.0928737677134216,0.0893587142012087,-1.03032100645442,-1.39548354411805
0.0681870622761826,0.0553859350347309,1.01460669800906,0.867957519027429
0.0851654635139817,0.044440635837016,0.0347429269177359,0.359289984166714
0.0335092491464822,0.0317890867846359,0.0558114807694845,0.200789823025554
0.0431812974325969,0.0389255412389528,0.402371071791382,0.857163073959157
0.0503958620068089,0.0312524325579422,0.625461278268073,1.89240254432287
0.0483221757902602,0.0435991146507288,-0.595756772198409,-0.581118205604319
0.130516809118433,0.0891009925645368,-0.427133724912937,-0.468976657304034
0.0474887151930525,0.0476090548564707,-1.5266059064515,-1.08251888420798
0.0847432902163193,0.0820940377965619,0.0263208459175737,-0.0337806128272156
0.0628721775576767,0.0620662673359845,0.591490438764427,0.485886001749404
0.0624946440042856,0.0580738310610535,-0.0300083199529896,0.157960693512245
0.0538488226603952,0.0467417259108563,0.752096211925571,0.696427138869916
0.0548388271657494,0.048711880931765,0.612596557722435,0.366932688082052
0.0547379133140038,0.0455611989502677,-0.249457497987289,0.229157489664457
0.108741708776648,0.111320774005228,-1.77640935272914,-1.88990026823687
0.0762753253248656,0.06799859001483,0.832915936692158,0.462516788928439
0.0493372252874194,0.0473259017129943,1.02029346418596,1.01416095617029
0.0714360594521185,0.0606421183367702,-1.12269867781981,-1.98963743619315
0.0761775475729565,0.0624163726399327,-0.708022322757064,-1.33005874676097
0.05648614391972,0.0589228279157748,0.0780564537941178,-0.0108982425333904
0.131177974626175,0.129753789543295,0.473246540720429,0.0703221737243553
0.0386318022984727,0.0336162563988606,0.254347129712718,0.788237988873492
0.0512010894371839,0.0458692332943478,1.07261890027327,0.985473458862371
0.0468556696524326,0.0456077270009569,-0.49989815060343,-0.129997989869518
0.0572008346190335,0.0366615094862863,0.972416479664274,0.207544549964787
0.0669391979236738,0.0514419300580204,-1.9775896673784,-2.98730289801486
0.0358119957727921,0.0321205277905004,0.169607382043588,-0.029044595030112
0.069227488700937,0.0509735752143382,-0.221870238626926,-1.08305207299662
0.105420540539574,0.0875092472919021,-0.523120519441768,-0.547938736128174
0.0622554792180698,0.0639404763183094,-0.309342128553354,-0.122052377826213
0.0834541064038392,0.0763948193785409,2.05405424869141,2.1607783564825
0.0483048225474289,0.0487709419109057,0.046015171692757,0.108151460538444
