"exp","k0","k6"
6.17969595759782,5.75100084626692,6.30271942723286
5.70257470287816,5.13076513084618,6.06673914743814
5.4807259532618,5.01566330762764,5.62385656156178
5.33459791758357,4.96889493914092,5.5632119580097
5.2254534481585,4.74105140893502,5.06023105477016
5.1383032724396,4.65472158066619,4.9872969249991
5.06575260529099,4.61211282210417,4.92480066690045
5.00360469854214,4.52493420041894,4.91520996109898
4.94924703621955,4.50820694133436,4.80919585219116
4.90094235664499,4.47535399434914,4.7918117438619
4.8574766628639,4.44834378575023,4.76000486085478
4.81796812158023,4.39848316127113,4.68417655077742
4.78175594892578,4.38899911038479,4.63879783022616
4.74833219343883,4.36213199858327,4.62973882669871
4.71729795969887,4.33973156266022,4.58592341860074
4.68833426376355,4.32741318253079,4.58543583562502
4.66118201771993,4.24926076206227,4.55379391584514
4.63562791324755,4.2078149544179,4.54634560940697
4.61149423353083,4.18162398362901,4.54489095221425
4.58863135057132,4.17439587782732,4.53496427102939
4.56691210087809,4.15761102686988,4.49669136940053
4.54622750201824,4.14404347942775,4.47209593636903
4.52648344382248,4.14164696672595,4.46056237271082
4.5075980996621,4.12836348259483,4.44487637903788
4.48949987756931,4.11976185020635,4.42931218445888
4.47212578149989,4.11007486611242,4.40365808461215
4.45542008799703,4.10963068037284,4.38403132741496
4.43933326810358,4.0972210851876,4.33981115898296
4.42382110192533,4.08531891558298,4.33502826642955
4.40884394595568,4.05941799333908,4.31071348255499
4.39436612258705,4.03000248409226,4.27533036721535
4.38035540814424,4.00219580997722,4.26254027792595
4.36678260095497,3.99738528214538,4.25349918656981
4.353621154897,3.98124881382648,4.22979290098907
4.34084686686057,3.95247469814847,4.22813932746085
4.32843760887875,3.93154338124392,4.22695130815316
4.31637309747737,3.9265870634556,4.21897899000396
4.30463469420612,3.92524530680562,4.21665197538395
4.29320523242534,3.92102692267448,4.19650362273141
4.28206886630738,3.90850927159039,4.19375270528699
4.27121093871917,3.89643798402956,4.18713123699197
4.26061786522175,3.88972329997633,4.17632612031214
4.25027703188353,3.88857324589603,4.15515845952124
4.2401767049792,3.87999641425618,4.1454178721769
4.23030595095291,3.87419532527367,4.13124981986971
4.22065456527673,3.86973017484544,4.10909513527131
4.21121300904389,3.86842859928675,4.10236691423524
4.20197235230897,3.86737126262378,4.09866378556216
4.19292422333158,3.85854071441729,4.09772806474778
4.18406076300027,3.84667899751116,4.0968995428635
4.17537458381518,3.8374882734204,4.0962020010181
4.16685873289265,3.82980070499585,4.05568589998915
4.15850665852788,3.82156296401724,4.0539774580917
4.15031217991261,3.81752127249674,4.05117782576098
4.1422694596572,3.81553379702761,4.04895011737093
4.13437297881116,3.80051468341591,4.04026914032316
4.1266175141144,3.80019986569067,4.03625889812197
4.11899811724421,3.79971527000329,4.02414759391038
4.11151009585166,3.79846822361163,4.0205252198864
4.10414899620529,3.79691904657228,4.01575785445444
