k,npar,resid_df,lambda,med_se,se_ratio,frac_gain,n_p1e5,n_fdr,n_bonf,r2_slide,r2_smoke_sv,max_r2_sv_ptsd,strata_full_rank,df_F,df_M
0,18,69,0.845846588086946,0.0557674140600513,1.0,,3,0,0,,,,True,28,25
6,24,63,1.02169975445133,0.0498773396469895,0.949218774460033,0.764793699446348,5,0,0,0.0827558034446251,0.394285583745954,0.040317149445552,True,22,19
8,26,61,1.04624532968528,0.0493778274653434,0.935799255561573,0.800025388396181,7,0,0,0.0829326972610507,0.443070564861818,0.0405738027380405,True,20,17
10,28,59,1.07237084602343,0.0487846125398134,0.923091269963264,0.827378740656211,9,0,0,0.084493078189937,0.461589362012814,0.040877470074366,True,18,15
15,33,54,1.07130174091215,0.050251843101762,0.94542759254176,0.687921073823373,7,0,0,0.09142693442686,0.6359231714982,0.0411673993377785,True,13,10
