Knowledgebase,Features tested,Nominal p<0.05,FDR<0.05,Top feature,Top log2(OR),Top FDR
TFBSconsensus,783,211,35,ING2,0.55,0.00328
HMconsensus,60,13,5,H3K36me2,0.95,0.0144
chromHMM,15,1,1,1_TssA,0.49,0.00328
CGI,5,1,0,Island,0.27,0.0835
